trial,launch_speed,start_angle_deg,start_sector_index,winner_index,winner,color,pocket_offset,free_revolutions,settle_seconds,timed_out
1,12.484224,178.633462,18,13,36,red,32,2.772319,16.012500,0
2,12.288654,102.974124,10,7,25,red,34,2.871734,14.479167,0
3,11.829297,240.200045,24,17,23,red,30,2.701813,14.316667,0
4,11.793854,9.439741,0,2,15,black,2,3.007675,14.812500,0
5,12.488186,31.285454,3,4,4,black,1,3.010974,15.141667,0
6,11.837658,50.248392,5,36,26,black,31,2.823865,14.187500,0
7,12.364383,147.679278,15,12,13,black,34,2.807317,15.391667,0
8,11.672526,128.281565,13,11,27,red,35,2.929805,14.662500,0
9,12.097038,116.270223,11,7,25,red,33,2.743752,14.645833,0
10,11.735540,135.536916,13,14,11,black,1,2.983353,14.762500,0
11,11.978582,66.214394,6,6,2,black,0,2.946449,14.641667,0
12,12.020604,7.972027,0,2,15,black,2,3.024588,14.716667,0
13,12.185328,1.133337,0,31,7,red,31,2.748389,15.862500,0
14,12.172342,135.069042,13,10,6,black,34,2.870784,14.591667,0
15,12.275549,267.222180,27,29,18,red,2,3.034095,15.358333,0
16,11.755560,5.912832,0,1,32,red,1,2.993658,15.229167,0
17,12.083884,288.675228,29,22,33,black,30,2.724028,14.350000,0
18,12.204506,49.625131,5,11,27,red,6,3.136637,15.866667,0
19,11.677823,11.028215,1,5,21,red,4,3.076895,15.937500,0
20,11.898381,139.670906,14,7,25,red,30,2.742096,13.750000,0
21,11.535055,168.322525,17,15,30,red,35,2.907160,14.533333,0
22,12.343101,342.853446,35,30,29,black,32,2.772102,16.416667,0
23,12.137191,184.942166,19,20,24,black,1,3.011588,14.820833,0
24,12.275691,71.118513,7,3,19,red,33,2.764997,14.379167,0
25,12.216110,185.725766,19,14,11,black,32,2.760163,14.170833,0
26,11.635147,29.267951,3,1,32,red,35,2.909274,15.300000,0
27,11.822312,205.500119,21,14,11,black,30,2.798889,13.937500,0
28,11.812673,209.670568,21,15,30,red,31,2.738796,14.770833,0
29,11.997835,272.510083,28,22,33,black,31,2.730223,14.150000,0
30,11.566472,148.105304,15,14,11,black,36,2.968997,14.575000,0
31,12.108039,325.046100,33,36,26,black,3,3.053080,15.200000,0
32,12.131834,121.484330,12,6,2,black,31,2.740000,15.750000,0
33,12.269658,349.396590,35,29,18,red,31,2.742189,13.791667,0
34,11.727890,319.934584,32,32,28,black,0,2.945355,14.670833,0
35,12.106336,156.024445,16,13,36,red,34,2.884085,14.825000,0
36,11.855166,46.444362,4,36,26,black,32,2.728045,14.483333,0
37,11.690694,21.676073,2,1,32,red,36,2.925301,15.383333,0
38,11.710077,280.223293,28,28,22,black,0,2.947863,14.608333,0
39,12.275797,244.221769,25,21,16,red,33,2.857410,15.266667,0
40,11.760406,45.556089,4,2,15,black,35,2.894303,14.500000,0
41,11.575736,112.191030,11,8,17,black,34,2.868453,14.562500,0
42,11.697807,298.122154,30,29,18,red,36,2.922928,14.675000,0
43,11.524938,90.585090,9,11,27,red,2,3.020225,15.600000,0
44,11.889938,225.427588,23,25,14,red,2,3.028365,14.925000,0
45,12.090930,210.013817,21,15,30,red,31,2.735209,16.337500,0
46,11.837893,246.660680,25,25,14,red,0,2.973246,14.529167,0
47,12.205136,44.546128,4,0,0,green,33,2.748421,14.620833,0
48,12.132156,141.855806,14,17,23,red,3,3.036424,15.208333,0
49,11.547863,309.182126,31,29,18,red,35,2.916068,14.570833,0
50,11.681626,302.545458,31,25,14,red,31,2.810105,14.179167,0
51,11.803297,144.890871,14,9,34,red,32,2.732463,15.225000,0
52,12.224795,181.638138,18,13,36,red,32,2.763782,14.158333,0
53,11.592061,218.662822,22,20,24,black,35,2.927415,14.479167,0
54,12.244055,189.080442,19,14,11,black,32,2.778517,14.683333,0
55,11.754670,166.793004,17,12,13,black,32,2.843137,14.558333,0
56,12.073721,104.832130,10,4,4,black,31,2.730695,16.433333,0
57,12.255397,181.137816,18,13,36,red,32,2.764637,14.795833,0
58,11.693219,52.652475,5,3,19,red,35,2.928688,14.466667,0
59,11.791429,325.120791,33,27,9,red,31,2.718480,14.854167,0
60,12.281730,5.472529,0,32,28,black,32,2.763431,15.133333,0
61,12.242185,200.009588,20,15,30,red,32,2.743160,14.929167,0
62,11.655522,1.224532,0,36,26,black,36,2.960876,14.733333,0
63,11.532274,66.471369,6,5,21,red,36,2.934458,14.720833,0
64,12.494256,313.916819,32,33,12,red,1,3.002016,15.575000,0
65,12.458960,239.556141,24,19,5,red,32,2.763131,15.945833,0
66,11.534747,62.962112,6,5,21,red,36,2.954284,14.441667,0
67,11.660644,237.910252,24,22,33,black,35,2.934860,14.458333,0
68,11.793378,250.044765,25,21,16,red,33,2.838140,14.629167,0
69,12.297418,244.252116,25,20,24,black,32,2.779056,14.262500,0
70,11.502276,166.651605,17,14,11,black,34,2.884630,14.358333,0
71,11.732964,222.827918,22,16,8,black,31,2.707065,15.054167,0
